Nama Lokasi,Jam Login,Nama,Email,No Telepon,Tahun Lahir,Merk HP,Minat Digital,Tipe Lokasi,Usia,Generasi,Waktu Sesi,Skor Minat Digital,Status Aktif,Domain Email
Denpasar,17:58,Manah Nasyiah,kalahutasoit@example.com,0896-6873-9311,2000,Samsung,Sedang,Tourism,26,Gen Z,Sore,50,Kurang Aktif,example.com
Denpasar,12:18,Kajen Putra,gastisimbolon@example.com,0823-8713-3096,1981,Apple,Tinggi,Tourism,45,Millennial,Siang,75,Aktif,example.com
Denpasar,09:43,Hj. Vanesa Yulianti,saragihzelaya@example.com,0853-2463-4641,1981,Apple,Sedang,Tourism,45,Millennial,Pagi,50,Kurang Aktif,example.com
Yogyakarta,06:50,"Zulfa Permadi, S.Gz",cawukfujiati@example.org,0853-7089-5269,1996,OPPO,Tinggi,Tourism,30,Millennial,Pagi,75,Kurang Aktif,example.org
Jakarta Pusat,13:03,Rahmi Sudiati,saragihunjani@example.net,0892-2166-8736,2000,OPPO,Sangat Tinggi,Urban,26,Gen Z,Siang,95,Aktif,example.net
Makassar,09:19,"Opung Natsir, S.IP",mandalaajimin@example.org,0863-1885-3470,2003,Samsung,Rendah,Urban,23,Gen Z,Pagi,25,Kurang Aktif,example.org
Makassar,07:57,Jelita Nurdiyanti,ganda52@example.net,0869-3346-6183,2006,Samsung,Sangat Tinggi,Urban,20,Gen Z,Pagi,95,Kurang Aktif,example.net
Jakarta Pusat,10:21,"T. Oskar Lazuardi, S.Ked",sidiq48@example.org,0891-3897-6134,2001,Samsung,Tinggi,Urban,25,Gen Z,Pagi,75,Kurang Aktif,example.org
Yogyakarta,08:48,Tania Permata,mandasariviktor@example.net,0832-3595-9021,1983,Apple,Tinggi,Tourism,43,Millennial,Pagi,75,Kurang Aktif,example.net
Bandung,19:40,Amelia Mandasari,omanmanullang@example.com,0865-7609-8029,1997,Xiaomi,Sangat Tinggi,Urban,29,Gen Z,Sore,95,Aktif,example.com
Jakarta Selatan,16:12,"R. Tugiman Pertiwi, S.IP",ciciadriansyah@example.org,0858-1230-6279,2004,OPPO,Tinggi,Urban,22,Gen Z,Sore,75,Kurang Aktif,example.org
Jakarta Selatan,12:40,"Cut Hesti Gunawan, M.Kom.",pranata22@example.org,0842-4707-6641,1970,Samsung,Sedang,Urban,56,Gen X,Siang,50,Aktif,example.org
Denpasar,18:10,KH. Vino Yolanda,uprasetyo@example.org,0819-1749-5885,1989,OPPO,Sangat Tinggi,Tourism,37,Millennial,Sore,95,Kurang Aktif,example.org
Denpasar,13:21,Tantri Simanjuntak,chandra95@example.org,0866-3192-6615,2003,OPPO,Sangat Tinggi,Tourism,23,Gen Z,Siang,95,Aktif,example.org
Surabaya,09:58,Ir. Umay Habibi,ivanmaryati@example.org,0862-1313-4742,1980,Huawei,Sedang,Urban,46,Gen X,Pagi,50,Kurang Aktif,example.org
Surabaya,19:37,Betania Hastuti,luthfi51@example.net,0875-3768-3017,1971,Vivo,Sedang,Urban,55,Gen X,Sore,50,Aktif,example.net
Jakarta Selatan,15:56,Ajeng Uwais,lamarpratiwi@example.com,0892-5190-9761,1994,Vivo,Tinggi,Urban,32,Millennial,Siang,75,Kurang Aktif,example.com
Jakarta Selatan,08:41,"Sarah Prasasta, M.M.",maya73@example.net,0813-1790-2897,1976,Xiaomi,Sedang,Urban,50,Gen X,Pagi,50,Kurang Aktif,example.net
Denpasar,12:30,KH. Raden Prasasta,adinatawasita@example.org,0830-4366-1152,1986,Vivo,Sedang,Tourism,40,Millennial,Siang,50,Aktif,example.org
Denpasar,09:39,Kemba Situmorang,sitorusade@example.net,0888-3247-7862,1987,Samsung,Tinggi,Tourism,39,Millennial,Pagi,75,Kurang Aktif,example.net
Palembang,07:18,Zizi Samosir,putrafitriani@example.org,0825-2741-9154,1977,Samsung,Sedang,Suburban,49,Gen X,Pagi,50,Kurang Aktif,example.org
